age	CO2
-0.05103	368.0224879
-0.048	361.7807366
-0.046279272	359.6477932
-0.044405642	357.1067397
-0.04308	353.9466853
-0.042313517	353.7242358
-0.041134817	352.4163084
-0.0399714	350.8086522
-0.039407968	349.8002704
-0.038966335	349.2784146
-0.038069512	347.5974056
-0.037208592	345.441206
-0.036616016	344.7177686
-0.036143228	343.9736768
-0.03576218	343.1107521
-0.034916753	342.0519764
-0.03307685	341.3292967
-0.033025919	339.4604885
-0.02914259	334.8485555
-0.02679675	335.5469535
-0.02667037	332.3689555
-0.025570921	332.3656863
-0.024133413	331.5498057
-0.022088334	328.415888
-0.022041018	330.3504422
-0.020872682	326.3093257
-0.020656302	326.6491948
-0.02063715	324.9059937
-0.020221683	324.5570617
-0.019423218	324.7060576
-0.018984371	325.0771759
-0.018813869	324.0855174
-0.018538749	320.3806508
-0.016789044	320.4923554
-0.016545235	322.1747797
-0.015866012	320.9815664
-0.015297878	319.1950596
-0.015226349	319.8929363
-0.013564496	319.123473
-0.013200018	319.0660644
-0.01261528	318.6110626
-0.012542092	317.4481355
-0.012395341	319.1381732
-0.012321916	317.521628
-0.0117159	316.5926101
-0.010568662	318.2065804
-0.010314045	313.0933881
-0.009092696	311.9838924
-0.008562971	316.33402
-0.008102786	316.1014029
-0.007872424	314.5721663
-0.007257539	315.2703546
-0.007203374	316.3253802
-0.007103747	314.4370578
-0.0061572	315.3420739
-0.004795965	314.7139613
-0.003791544	313.171057
-0.003713937	312.8003638
-0.003558561	312.2227408
-0.002383918	312.1844627
-0.0002509	312.0017776
0.000331528	313.6602846
0.001225945	309.6939936
0.002293513	311.57095
0.003336603	310.3629002
0.00337314	312.8663621
0.004384161	312.5596868
0.00444278	311.9671347
0.004612611	311.8114965
0.00503719	310.4402044
0.005235677	311.2775835
0.005490957	310.2243096
0.006426352	312.3616402
0.007792659	311.8780536
0.007964587	312.843733
0.008220302	312.3939386
0.009160585	311.8022677
0.009245991	307.7386636
0.010031	309.800915
0.010408173	310.9510867
0.010777515	311.2117943
0.011032277	310.4566675
0.0118384	308.4798278
